FID IID CapYear 
1 2091 1993 
1 1814 1992 
1 2823 1996 
1 1817 1992 
1 2502 1995 
1 1838 1993 
1 1761 1992 
1 1839 1993 
1 1690 1992 
1 1740 1992 
1 1887 1993 
1 1689 1992 
1 1851 1993 
1 2364 1995 
1 3435 1998 
1 2872 1996 
1 2986 1997 
1 2624 1996 
1 1852 1993 
1 3368 1998 
1 1691 1992 
1 2987 1997 
1 2352 1995 
1 1928 1993 
1 1779 1992 
1 1919 1993 
1 1765 1992 
1 1938 1993 
1 2860 1996 
1 2988 1997 
1 1813 1992 
1 3370 1998 
1 2088 1993 
1 2000 1993 
1 1788 1992 
1 4139 2000 
1 4478 2001 
1 1800 1992 
1 3513 1998 
1 2483 1995 
1 2544 1995 
1 2848 1996 
1 1741 1992 
1 2017 1993 
1 2465 1995 
1 2466 1995 
1 3554 1998 
1 2010 1993 
1 1789 1992 
1 2603 1996 
1 1996 1993 
1 2509 1995 
1 2353 1995 
1 1692 1992 
1 1853 1993 
1 2625 1996 
1 2989 1997 
1 1764 1992 
1 4093 2000 
1 2025 1993 
1 2627 1996 
1 2406 1995 
1 2991 1997 
1 2540 1995 
1 1673 1992 
1 1974 1993 
1 2826 1996 
1 3514 1998 
1 1803 1992 
1 1860 1993 
1 1713 1992 
1 1743 1992 
1 1746 1992 
1 1882 1993 
1 2718 1996 
1 2002 1993 
1 2765 1996 
1 2499 1995 
1 1610 1992 
1 3179 1997 
1 1657 1992 
1 3517 1998 
1 2527 1995 
1 2766 1996 
1 3369 1998 
1 4423 2001 
1 4033 2000 
1 7597 2003 
1 7125 2002 
1 2628 1996 
1 2373 1995 
1 3757 1999 
1 2992 1997 
1 2050 1993 
1 2066 1993 
1 3152 1997 
1 2861 1996 
1 4425 2001 
1 3371 1998 
1 2490 1995 
1 2047 1993 
1 4035 2000 
1 3759 1999 
1 2993 1997 
1 2751 1996 
1 4623 2001 
1 1785 1992 
1 1891 1993 
1 4091 2000 
1 2031 1993 
1 3001 1997 
1 3364 1998 
1 2618 1996 
1 2349 1995 
1 1861 1993 
1 2994 1997 
1 2887 1996 
1 3434 1998 
1 2079 1993 
1 2392 1995 
1 2995 1997 
1 2350 1995 
1 1862 1993 
1 3365 1998 
1 2619 1996 
1 2996 1997 
1 2029 1993 
1 2574 1996 
1 2007 1993 
1 2464 1995 
1 2500 1995 
1 3551 1998 
1 4422 2001 
1 3180 1997 
1 1964 1993 
1 2530 1995 
1 2554 1996 
1 3511 1998 
1 3901 1999 
1 1888 1993 
1 1982 1993 
1 4092 2000 
1 7274 2002 
1 2555 1996 
1 2759 1996 
1 3433 1998 
1 2420 1995 
1 3900 1999 
1 2528 1995 
1 1980 1993 
1 3549 1998 
1 2576 1996 
1 2520 1995 
1 2830 1996 
1 2519 1995 
1 2760 1996 
1 3550 1998 
1 3181 1997 
1 2545 1995 
1 4138 2000 
1 2604 1996 
1 1889 1993 
1 2620 1996 
1 2095 1993 
1 2761 1996 
1 2082 1993 
1 2997 1997 
1 2621 1996 
1 3367 1998 
1 1890 1993 
1 2733 1996 
1 2393 1995 
1 3362 1998 
1 2998 1997 
1 2065 1993 
1 2999 1997 
1 2875 1996 
1 2371 1995 
1 3000 1997 
1 2061 1993 
1 3366 1998 
1 2622 1996 
1 4090 2000 
1 3510 1998 
1 2030 1993 
1 2599 1996 
1 2549 1995 
1 3002 1997 
1 2372 1995 
1 2708 1996 
1 1840 1993 
1 3363 1998 
1 7595 2003 
1 2884 1996 
1 7123 2002 
1 4420 2001 
1 3751 1999 
1 3016 1997 
1 3354 1998 
1 3003 1997 
1 2377 1995 
1 3361 1998 
1 2608 1996 
1 2343 1995 
1 3004 1997 
1 2856 1996 
1 3182 1997 
1 2752 1996 
1 4563 2001 
1 2432 1995 
1 3005 1997 
1 2753 1996 
1 2609 1996 
1 3006 1997 
1 3240 1997 
1 2800 1996 
1 3546 1998 
1 3007 1997 
1 3357 1998 
1 2610 1996 
1 2344 1995 
1 3008 1997 
1 3548 1998 
1 2754 1996 
1 3183 1997 
1 2487 1995 
1 3009 1997 
1 2802 1996 
1 4089 2000 
1 7130 2002 
1 2551 1996 
1 2345 1995 
1 2611 1996 
1 2552 1996 
1 2612 1996 
1 2365 1995 
1 3359 1998 
1 4476 2001 
1 8257 2004 
1 3506 1998 
1 3241 1997 
1 2810 1996 
1 2446 1995 
1 3010 1997 
1 2547 1995 
1 3011 1997 
1 3753 1999 
1 4031 2000 
1 2857 1996 
1 3012 1997 
1 2613 1996 
1 2614 1996 
1 3013 1997 
1 2346 1995 
1 2553 1996 
1 3899 1999 
1 2858 1996 
1 3014 1997 
1 2479 1995 
1 3897 1999 
1 2755 1996 
1 2488 1995 
1 3508 1998 
1 3356 1998 
