FID  BirthYear MumID
1 323 1993 2479
1 324 1993 2409
1 325 1993 2172
1 326 1993 2163
1 327 1993 577
1 328 1993 577
1 22 1993 2462
1 329 1993 2066
1 330 1993 2170
1 331 1993 2353
1 332 1993 1664
1 333 1993 2236
1 334 1993 2323
1 335 1993 2323
1 336 1993 1225
1 337 1993 2366
1 338 1993 2643
1 20 1993 2572
1 339 1993 2341
1 340 1993 2349
1 341 1993 1899
1 342 1993 1899
1 343 1993 1259
1 344 1993 2252
1 345 1993 2374
1 346 1993 2214
1 347 1993 2214
1 348 1993 2169
1 349 1993 2368
1 350 1993 2368
1 351 1993 2523
1 352 1993 2167
1 353 1993 2706
1 354 1993 2355
1 355 1993 2465
1 356 1993 2177
1 357 1993 2069
1 358 1993 1660
1 359 1993 1242
1 360 1993 1242
1 361 1993 1262
1 362 1993 1262
1 363 1993 2278
1 364 1993 2536
1 365 1993 1880
1 366 1993 2245
1 367 1993 1288
1 368 1993 1288
1 369 1993 2534
1 370 1993 1554
1 371 1993 1554
1 372 1993 2663
1 373 1993 1877
1 374 1993 2447
1 375 1993 1079
1 376 1993 2358
1 377 1993 2073
1 378 1993 1784
1 379 1993 1834
1 380 1993 2641
1 381 1993 2608
1 382 1993 2698
1 383 1993 2351
1 384 1993 2707
1 385 1993 2076
1 386 1993 2365
1 387 1993 2377
1 388 1993 2073
1 389 1994 2360
1 390 1994 2431
1 391 1994 2358
1 392 1994 2363
1 393 1994 2364
1 394 1994 1825
1 395 1994 2676
1 396 1994 2365
1 397 1994 2341
1 398 1994 2362
1 399 1994 2165
1 400 1994 2361
1 401 1994 2409
1 402 1994 2172
1 403 1994 2169
1 404 1994 905
1 405 1994 2572
1 406 1994 2163
1 407 1994 2637
1 408 1994 2369
1 409 1994 2177
1 410 1994 2356
1 411 1994 1757
1 412 1994 1259
1 413 1994 1255
1 414 1994 1899
1 415 1994 2376
1 416 1994 2236
1 417 1994 2421
1 418 1994 2359
1 419 1994 2644
1 420 1994 2323
1 421 1994 2075
1 422 1994 2536
1 423 1994 2373
1 424 1994 2342
1 5 1994 2375
1 425 1994 1072
1 426 1994 2366
1 427 1994 1821
1 428 1994 1663
1 429 1994 2069
1 430 1994 1649
1 431 1994 1649
1 432 1994 1225
1 433 1994 1877
1 434 1994 2073
1 435 1994 2073
1 436 1994 2534
1 437 1994 1891
1 438 1994 2804
1 439 1994 1887
1 440 1994 1885
1 441 1994 1885
1 442 1994 1660
1 443 1994 1784
1 444 1994 1834
1 445 1994 2658
1 446 1994 2617
1 447 1994 1876
1 448 1994 2374
1 449 1994 2292
1 450 1994 2571
1 451 1994 1242
1 452 1995 2339
1 453 1995 2364
1 454 1995 2323
1 455 1995 2379
1 456 1995 2245
1 457 1995 2479
1 458 1995 2363
1 459 1995 2066
1 460 1995 2167
1 461 1995 2807
1 462 1995 2829
1 463 1995 2172
1 464 1995 2178
1 465 1995 2218
1 466 1995 1741
1 467 1995 2460
1 468 1995 2908
1 469 1995 2361
1 470 1995 2617
1 471 1995 2409
1 472 1995 2262
1 473 1995 2262
1 474 1995 2607
1 475 1995 2177
1 476 1995 2375
1 477 1995 2572
1 478 1995 2163
1 479 1995 2706
1 480 1995 2572
1 481 1995 1664
1 482 1995 2353
1 483 1995 2536
1 484 1995 2369
1 40 1995 30
1 485 1995 2075
1 486 1995 2644
1 487 1995 2365
1 488 1995 2365
1 489 1995 2631
1 31 1995 2421
1 490 1995 2421
1 491 1995 1876
1 492 1995 1649
1 493 1995 2071
1 494 1995 2073
1 495 1995 2073
1 496 1995 2707
1 14 1995 2377
1 497 1995 2699
1 498 1995 2641
1 499 1995 2417
1 28 1995 2658
1 500 1995 2698
1 501 1995 2695
1 502 1995 2830
1 503 1995 2637
1 504 1995 2376
1 505 1995 2447
1 506 1995 1757
1 507 1995 2064
1 508 1995 2686
1 509 1995 2545
1 510 1996 2170
1 511 1996 2341
1 512 1996 2341
1 513 1996 2176
1 514 1996 2853
1 515 1996 2623
1 516 1996 2623
1 517 1996 2443
1 518 1996 1664
1 519 1996 2260
1 52 1996 3009
1 520 1996 2375
1 521 1996 2363
1 522 1996 2807
1 523 1996 2245
1 524 1996 2800
1 525 1996 2861
1 526 1996 2697
1 527 1996 2903
1 528 1996 2376
1 529 1996 3111
1 530 1996 3088
1 531 1996 3237
1 532 1996 3259
1 533 1996 2409
1 534 1996 2178
1 535 1996 2178
1 536 1996 2163
1 537 1996 2163
1 538 1996 2572
1 539 1996 2688
1 540 1996 3241
1 541 1996 2842
1 542 1996 2842
1 543 1996 2963
1 544 1996 2368
