FID  CapYear MumID
1 2009 2014 8800
1 2010 2014 7692
1 2011 2014 7486
1 2012 2014 9023
1 2013 2015 8358
1 2014 2015 7205
1 2015 2015 6690
1 2016 2015 6408
1 2017 2015 7108
1 2018 2015 7109
1 2019 2015 7185
1 2020 2015 7185
1 2021 2015 6666
1 2022 2015 7560
1 2023 2015 6625
1 2024 2015 8714
1 2025 2015 8731
1 2026 2015 10451
1 2027 2015 7172
1 2028 2015 7576
1 2029 2015 8798
1 2030 2015 6118
1 2031 2015 8240
1 2032 2015 6644
1 2033 2015 8312
1 2034 2015 7262
1 2035 2015 8716
1 2036 2015 7472
1 2037 2015 8730
1 2038 2015 8751
1 2039 2015 6678
1 2040 2015 6866
1 2041 2015 6937
1 2042 2015 7230
1 2043 2015 7230
1 2044 2015 8758
1 2045 2015 10449
1 2046 2015 7476
1 2047 2015 7241
1 2048 2015 8265
1 2049 2015 8265
1 2050 2015 7267
1 2051 2015 7245
1 2052 2015 7131
1 2053 2015 7131
1 2054 2015 8762
1 2055 2015 9119
1 2056 2015 6930
1 2057 2015 6724
1 2058 2015 6958
1 2059 2015 8734
1 2060 2015 9169
1 2061 2015 7593
1 2062 2015 6827
1 2063 2015 6827
1 2064 2015 8258
1 2065 2015 9212
1 2066 2015 6938
1 2067 2015 6683
1 2068 2015 8790
1 2069 2015 6851
1 2070 2015 8794
1 2071 2015 6929
1 2072 2015 8974
1 2073 2015 8811
1 2074 2015 9036
1 2075 2015 9023
1 2076 2015 6679
1 2077 2015 7043
1 2078 2015 7157
1 2079 2015 6945
1 2080 2015 6945
1 2081 2015 7215
1 2082 2015 7115
1 2083 2015 7053
1 2084 2015 7575
1 2085 2015 8804
1 2086 2015 6770
1 2087 2015 5490
1 2088 2015 7542
1 2089 2015 8812
1 2090 2015 6900
1 2091 2015 9240
1 2092 2015 10450
1 2093 2015 6969
1 2094 2015 6969
1 2095 2015 8965
1 2096 2015 8327
1 2097 2015 9211
1 2098 2015 6726
1 2099 2015 8506
1 2100 2015 6663
1 2101 2015 6916
1 2102 2015 7206
1 2103 2015 6948
1 2104 2015 7163
1 2105 2015 9029
1 2106 2015 6962
1 2107 2015 6682
1 2108 2015 6967
1 2109 2015 7692
1 2110 2015 6348
1 2111 2016 8958
1 2112 2016 6690
1 2113 2016 8734
1 2114 2016 8780
1 2115 2016 9093
1 2116 2016 8811
1 2117 2016 8729
1 2118 2016 9246
1 2119 2016 9207
1 2120 2016 10451
1 2121 2016 8759
1 2122 2016 7241
1 2123 2016 8730
1 2124 2016 8731
1 2125 2016 7574
1 2126 2016 8718
1 2127 2016 6777
1 2128 2016 8240
1 2129 2016 8751
1 2130 2016 7172
1 2131 2016 8715
1 2132 2016 9086
1 2133 2016 9242
1 2134 2016 7560
1 2135 2016 7576
1 2136 2016 7576
1 2137 2016 7476
1 2138 2016 9214
1 2139 2016 6930
1 2140 2016 8265
1 2141 2016 6644
1 2142 2016 8758
1 2143 2016 6827
1 2144 2016 6866
1 2145 2016 8756
1 2146 2016 9119
1 2147 2016 6892
1 2148 2016 8965
1 2149 2016 8510
1 2150 2016 7143
1 2151 2016 9212
1 2152 2016 8790
1 2153 2016 7472
1 2154 2016 9805
1 2155 2016 6982
1 2156 2016 8749
1 2157 2016 8783
1 2158 2016 9258
1 2159 2016 7185
1 2160 2016 7185
1 2161 2016 7575
1 2162 2016 9240
1 2163 2016 9169
1 2164 2016 8720
1 2165 2016 9841
1 2166 2016 9769
1 2167 2016 8712
1 2168 2016 9083
1 2169 2016 11077
1 2170 2016 8725
1 2171 2016 9208
1 2172 2016 6945
1 2173 2016 7486
1 2174 2016 7542
1 2175 2016 8258
1 2176 2016 8744
1 2177 2016 6851
1 2178 2016 7228
1 2179 2016 6938
1 2180 2016 7262
1 2181 2016 10448
1 2182 2016 8812
1 2183 2016 9074
1 2184 2016 7454
1 2185 2016 6969
1 2186 2016 6679
1 2187 2016 7230
1 2188 2016 6348
1 2189 2016 6967
1 2190 2016 7227
1 2191 2016 9023
1 2192 2016 9165
1 2193 2017 7262
1 2194 2017 9759
1 2195 2017 9075
1 2196 2017 9843
1 2197 2017 11121
1 2198 2017 7055
1 2199 2017 9093
1 2200 2017 6644
1 2201 2017 8800
1 2202 2017 8721
1 2203 2017 8734
1 2204 2017 8714
1 2205 2017 8787
1 2206 2017 7700
1 2207 2017 7560
1 2208 2017 8730
1 2209 2017 7459
1 2210 2017 10180
1 2211 2017 10115
1 2212 2017 6827
1 2213 2017 8729
1 2214 2017 9246
1 2215 2017 9797
1 2216 2017 9833
1 2217 2017 9793
1 2218 2017 8731
1 2219 2017 9165
1 2220 2017 8811
1 2221 2017 8811
1 2222 2017 8751
1 2223 2017 7205
1 2224 2017 7133
1 2225 2017 9251
1 2226 2017 8725
1 2227 2017 9214
1 2228 2017 6937
1 2229 2017 9769
1 2230 2017 6348
1 2231 2017 7230
1 2232 2017 7230
1 2233 2017 9827
1 2234 2017 10347
1 2235 2017 8762
1 2236 2017 7063
1 2237 2017 6938
1 2238 2017 8240
1 2239 2017 8240
1 2240 2017 8749
1 2241 2017 9208
1 2242 2017 7194
1 2243 2017 9086
1 2244 2017 7131
1 2245 2017 9211
1 2246 2017 8785
1 2247 2017 8758
1 2248 2017 7576
1 2249 2017 7576
1 2250 2017 10191
1 2251 2017 10231
1 2252 2017 6958
1 2253 2017 9036
1 2254 2017 9849
1 2255 2017 6930
1 2256 2017 8780
1 2257 2017 7486
1 2258 2017 8783
1 2259 2017 9030
1 2260 2017 9074
1 2261 2017 7142
1 2262 2017 9838
1 2263 2017 6969
1 2264 2017 7144
1 2265 2017 9016
1 2266 2017 7056
1 2267 2017 7056
1 2268 2017 5490
1 2269 2017 6679
1 2270 2017 6690
1 2271 2017 8812
1 2272 2017 7252
1 2273 2017 7053
1 2274 2017 10190
1 2275 2017 8804
1 2276 2017 9060
1 2277 2017 7596
1 2278 2017 7542
1 2279 2017 9834
1 2280 2017 9768
1 2281 2017 10443
1 2282 2017 9125
1 2283 2017 7458
1 2284 2017 8807
1 2285 2017 6967
1 2286 2017 7587
1 2287 2018 9246
1 2288 2018 8729
1 2289 2018 8714
1 2290 2018 9843
1 2291 2018 11076
1 2292 2018 6837
1 2293 2018 9093
1 2294 2018 8721
1 2295 2018 8744
1 2296 2018 9822
1 2297 2018 10220
1 2298 2018 9207
1 2299 2018 7205
1 2300 2018 9216
1 2301 2018 10180
1 2302 2018 7133
1 2303 2018 8749
1 2304 2018 8751
1 2305 2018 6583
1 2306 2018 10191
1 2307 2018 9060
1 2308 2018 10293
1 2309 2018 10443
1 2310 2018 9023
1 2311 2018 7560
1 2312 2018 10237
1 2313 2018 10347
1 2314 2018 11388
1 2315 2018 8780
1 2316 2018 8794
1 2317 2018 9030
1 2318 2018 11389
1 2319 2018 11389
1 2320 2018 8510
1 2321 2018 7576
1 2322 2018 7142
1 2323 2018 8790
1 2324 2018 9833
1 2325 2018 10575
1 2326 2018 11075
1 2327 2018 7587
1 2328 2018 10438
1 2329 2018 9827
1 2330 2018 8258
1 2331 2018 6945
1 2332 2018 8758
1 2333 2018 8506
1 2334 2018 6990
1 2335 2018 8811
1 2336 2018 8811
1 2337 2018 7486
1 2338 2018 9016
1 2339 2018 8327
1 2340 2018 10243
1 2341 2018 9029
1 2342 2018 6969
1 2343 2018 9805
1 2344 2018 9805
1 2345 2018 6943
1 2346 2018 10448
1 2347 2018 9074
1 2348 2018 11386
1 2349 2018 8730
1 2350 2018 11390
1 2351 2018 7574
1 2352 2018 7542
1 2353 2018 9075
1 2354 2018 9784
1 2355 2018 9795
1 2356 2019 9257
1 2357 2019 8714
1 2358 2019 9165
1 2359 2019 7454
1 2360 2019 9822
1 2361 2019 9246
1 2362 2019 11389
1 2363 2019 9207
1 2364 2019 9207
1 2365 2019 7576
1 2366 2019 10613
1 2367 2019 9769
1 2368 2019 10642
1 2369 2019 10347
1 2370 2019 8486
1 2371 2019 7205
1 2372 2019 6644
1 2373 2019 11076
1 2374 2019 10515
1 2375 2019 7142
1 2376 2019 8751
1 2377 2019 10567
1 2378 2019 8731
1 2379 2019 8731
1 2380 2019 10231
1 2381 2019 9060
1 2382 2019 10575
1 2383 2019 9083
1 2384 2019 7486
1 2385 2019 10220
1 2386 2019 8780
1 2387 2019 10180
1 2388 2019 9023
1 2389 2019 9817
1 2390 2019 7560
1 2391 2019 7560
1 2392 2019 10293
1 2393 2019 10255
1 2394 2019 8758
1 2395 2019 10527
1 2396 2019 11597
1 2397 2019 9841
1 2398 2019 9841
1 2399 2019 9805
1 2400 2019 9805
1 2401 2019 8510
1 2402 2019 11541
1 2403 2019 10351
1 2404 2019 10594
1 2405 2019 10594
1 2406 2019 10622
1 2407 2019 9784
1 2408 2019 11806
1 2409 2019 9216
1 2410 2019 10190
1 2411 2019 8730
1 2412 2019 10237
1 2413 2019 8327
1 2414 2019 9827
1 2415 2019 7458
1 2416 2019 9169
1 2417 2019 9795
1 2418 2019 8506
1 2419 2019 8506
1 2420 2019 6969
1 2421 2019 6969
1 2422 2019 8811
1 2423 2019 8811
1 2424 2019 8744
1 2425 2019 10618
1 2426 2019 11561
1 2427 2019 9074
1 2428 2019 9904
1 2429 2019 6663
1 2430 2019 6663
1 2431 2019 11077
1 2432 2019 6967
1 2433 2019 9093
1 2434 2019 8807
1 2435 2019 10626
1 2436 2019 10626
1 2437 2020 8798
1 2438 2020 9822
1 2439 2020 8729
1 2440 2020 8730
1 2441 2020 10220
1 2442 2020 10527
1 2443 2020 9827
1 2444 2020 8327
1 2445 2020 10594
1 2446 2020 10594
1 2447 2020 8751
1 2448 2020 8751
1 2449 2020 11620
1 2450 2020 7542
1 2451 2020 10632
1 2452 2020 10443
1 2453 2020 11568
1 2454 2020 11076
1 2455 2020 10347
1 2456 2020 11202
1 2457 2020 9246
1 2458 2020 11189
1 2459 2020 8721
1 2460 2020 10633
1 2461 2020 9817
1 2462 2020 11805
1 2463 2020 11508
1 2464 2020 11621
