FID  BirthYear MumID
1 1995 2017 9212
1 1996 2017 7542
1 1997 2017 7692
1 1998 2017 9784
1 1999 2017 9834
1 2000 2017 9768
1 2001 2017 10443
1 2002 2017 9125
1 2003 2017 8327
1 2004 2017 8807
1 2005 2017 6967
1 2006 2017 11386
1 2007 2017 7472
1 2008 2017 9822
1 2009 2017 9904
1 2010 2017 7454
1 2011 2017 7043
1 2012 2017 11075
1 2013 2017 8744
1 2014 2017 6982
1 2015 2017 -2660
1 2016 2017 9845
1 2017 2017 8955
1 2018 2017 8358
1 2019 2017 11805
1 2020 2018 11076
1 2021 2018 10449
1 2022 2018 6837
1 2023 2018 8798
1 2024 2018 8720
1 2025 2018 8720
1 2026 2018 8744
1 2027 2018 10220
1 2028 2018 10180
1 2029 2018 8749
1 2030 2018 10225
1 2031 2018 6583
1 2032 2018 8756
1 2033 2018 10349
1 2034 2018 9023
1 2035 2018 7560
1 2036 2018 10237
1 2037 2018 9258
1 2038 2018 7576
1 2039 2018 9833
1 2040 2018 11075
1 2041 2018 7241
1 2042 2018 9214
1 2043 2018 8811
1 2044 2018 10243
1 2045 2018 8804
1 2046 2018 11077
1 2047 2018 11077
1 2048 2018 9805
1 2049 2018 10448
1 2050 2018 10211
1 2051 2018 7695
1 2052 2018 7695
1 2053 2018 8486
1 2054 2018 10632
1 2055 2020 8790
1 2056 2020 8729
1 2057 2020 10112
1 2058 2020 10348
1 2059 2020 10191
1 2060 2020 8312
1 2061 2020 10237
1 2062 2020 9093
1 2063 2020 10642
1 2064 2020 10642
1 2065 2020 10527
1 2066 2020 7157
1 2067 2020 9827
1 2068 2020 8327
1 2069 2020 10575
1 2070 2020 7542
1 2071 2020 10632
1 2072 2020 11076
1 2073 2020 10347
1 2074 2020 9246
1 2075 2020 11189
1 2076 2020 8721
1 2077 2020 11508
1 2078 2020 7587
1 2079 2020 11571
1 2080 2020 9086
1 2081 2020 8510
1 2082 2020 8780
1 2083 2020 9207
1 2084 2020 11512
1 2085 2020 10613
1 2086 2020 10651
1 2087 2020 8712
1 2088 2020 11560
1 2089 2020 8740
1 2090 2020 11581
1 2091 2020 8720
1 2092 2020 7241
1 2093 2020 8807
1 2094 2020 9212
1 2095 2020 10622
1 2096 2020 11541
1 2097 2020 11523
1 2098 2020 9257
1 2099 2020 9125
1 2100 2020 11618
1 2101 2020 11926
1 2102 2020 9074
1 2103 2020 10114
1 2104 2020 11819
1 2105 2020 9849
1 2106 2020 10451
1 2107 2020 9833
1 2108 2020 11549
1 2109 2020 9812
1 2110 2020 8749
1 2111 2020 7163
1 2112 2020 10598
1 2113 2020 -2703
1 2114 2020 11191
1 2115 2020 9805
1 2116 2020 10190
1 29 1990 2165
1 30 1990 2067
1 31 1990 1246
1 32 1990 -2708
1 33 1991 32
1 34 1991 1226
1 35 1991 1226
1 36 1991 1243
1 37 1991 1835
1 38 1991 -2741
1 39 1991 2245
1 40 1991 1879
1 41 1991 1264
1 42 1991 24
1 43 1991 24
1 44 1991 577
1 45 1991 1288
1 46 1991 2128
1 47 1991 2273
1 48 1991 2146
1 49 1991 2146
1 50 1991 -2738
1 51 1991 2363
1 52 1991 1825
1 53 1991 2361
1 54 1991 1899
1 55 1991 2143
1 56 1991 1662
1 57 1991 1101
1 58 1991 1242
1 59 1991 1242
1 60 1991 2164
1 61 1991 2164
1 62 1991 2341
1 63 1991 2178
1 64 1991 2172
1 65 1991 2278
1 66 1991 1090
1 67 1991 1665
1 68 1991 567
1 69 1991 906
1 70 1991 1664
1 71 1991 1664
1 72 1991 1757
1 73 1991 2075
1 74 1991 2272
1 75 1991 1095
1 76 1991 1769
1 77 1991 1769
1 78 1991 1255
1 79 1991 54
1 80 1991 1251
1 81 1991 2214
1 82 1991 2353
1 83 1991 1109
1 84 1991 1289
1 85 1991 1877
1 86 1991 1877
1 7 1991 2366
1 87 1991 1660
1 88 1991 1820
1 89 1991 2374
1 90 1991 1078
1 91 1991 1880
1 92 1991 1554
1 93 1991 2175
1 94 1991 2302
1 95 1991 1252
1 96 1991 2315
1 97 1991 1882
1 98 1991 1876
1 99 1991 1246
1 100 1991 2170
1 101 1991 2311
1 102 1991 1821
1 103 1991 2219
1 104 1991 34
1 105 1991 -2649
1 106 1991 2292
1 107 1991 -2708
1 108 1993 2431
1 109 1993 2443
1 110 1993 2356
1 111 1993 2356
1 112 1993 2164
1 113 1993 1246
1 114 1993 1246
1 115 1993 2569
1 116 1993 54
1 117 1993 2172
1 118 1993 2163
1 119 1993 577
1 120 1993 577
1 121 1993 24
1 122 1993 1741
1 123 1993 1891
1 124 1993 1097
1 125 1993 2170
1 126 1993 2262
1 127 1993 2262
1 128 1993 2627
1 129 1993 1552
1 130 1993 1825
1 131 1993 2236
1 132 1993 2323
1 133 1993 2323
1 134 1993 2341
1 135 1993 2349
1 136 1993 1899
1 137 1993 1887
1 138 1993 36
1 139 1993 2374
1 140 1993 2214
1 141 1993 2214
1 142 1993 2368
1 143 1993 2368
1 144 1993 2706
1 145 1993 1663
1 146 1993 1663
1 147 1993 1820
1 148 1993 2069
1 149 1993 2069
1 150 1993 1660
1 151 1993 1660
1 152 1993 1101
1 153 1993 1101
1 154 1993 1242
1 155 1993 2075
1 156 1993 1882
1 157 1993 1882
1 158 1993 2376
1 159 1993 2532
1 160 1993 2536
1 161 1993 1288
1 162 1993 2534
1 163 1993 1554
1 164 1993 2686
1 165 1993 2663
1 166 1993 1877
1 167 1993 2447
1 168 1993 1079
1 169 1993 1649
1 170 1993 1109
1 171 1993 2073
1 172 1993 2292
1 173 1993 1834
1 174 1993 2641
1 175 1993 2608
1 176 1993 2698
1 177 1993 2637
1 178 1993 32
1 179 1993 2545
1 180 1993 1821
1 181 1993 2343
1 182 1993 1251
1 183 1993 2071
1 184 1994 35
1 185 1994 2360
1 186 1994 2275
1 187 1994 2627
1 188 1994 2431
1 189 1994 2363
1 190 1994 2364
1 191 1994 2401
1 192 1994 2066
1 193 1994 2607
1 194 1994 2353
1 195 1994 2341
1 196 1994 2479
1 197 1994 2362
1 198 1994 2165
1 199 1994 2361
1 200 1994 2409
1 201 1994 2172
1 202 1994 2167
1 203 1994 2460
1 204 1994 2572
1 205 1994 1664
1 206 1994 2163
1 207 1994 2637
1 208 1994 2177
1 209 1994 2356
1 210 1994 1757
1 211 1994 1757
1 212 1994 1259
1 213 1994 2262
1 214 1994 2688
1 215 1994 2549
1 216 1994 1255
1 217 1994 1899
1 218 1994 2462
1 219 1994 2421
1 220 1994 2644
1 221 1994 1820
1 222 1994 2323
1 223 1994 2323
1 224 1994 2064
1 225 1994 30
1 226 1994 30
1 227 1994 1552
1 228 1994 2075
1 229 1994 2373
1 230 1994 1072
1 231 1994 2366
1 232 1994 2569
1 233 1994 1665
1 234 1994 2447
1 235 1994 1663
1 236 1994 2069
1 237 1994 1649
1 238 1994 1649
1 239 1994 1225
